Date,Ciliates,Cyano,Diatoms,Chloro,Crypto,Chryso,Hapto,Dino,Season,Year
17/09/2014,1.288923882,1.890003762,2.429340378,2.175757374,2.224348613,1.288923882,0,0,Autumn,2014
13/10/2014,1.678630561,0,2.946746908,1.63464915,1.678630561,1.1229212,0,0,Autumn,2014
25/11/2014,1.30609043,0,2.829310594,1.953396223,2.072521729,0,0,0,Autumn,2014
15/12/2014,1.557199772,0,2.857476147,1.990241308,1.851833049,0,0,0,Winter,2014
16/01/2015,0,2.050840844,2.868343297,1.77827941,1.466089535,0,0,0,Winter,2015
18/02/2015,0,0,3.123955557,1.37457061,1.044447802,0,0,0,Winter,2015
15/04/2015,1.140175425,0,2.909607122,1.627737159,2.104356901,0,0,0,Spring,2015
20/05/2015,1.153435507,0,2.827653409,1.431569123,2.341905993,0,0,0.316227766,Spring,2015
25/06/2015,1.213710009,0,2.150062728,2.813504393,1.887034383,1.021778181,0,0.447213595,Summer,2015
28/07/2015,1.178662122,0,2.812268799,2.28013999,1.687544421,0.790252997,0,0,Summer,2015
25/08/2015,1.372641384,1.311664993,2.800846919,2.148299864,1.806497654,0,0,0,Summer,2015
21/09/2015,1.055250147,1.348829322,2.801188201,2.222073527,1.736364791,0.800195241,0,0,Autumn,2015
02/11/2015,1.159897584,1.407985355,2.848757172,1.674386202,2.128874744,0,0,0,Autumn,2015
30/11/2015,1.54037726,0,2.805726758,1.772022487,2.14400046,1.089694548,0,0,Autumn,2015
11/01/2016,0,0,2.637478363,2.57682559,1.656527859,0,0,0,Winter,2016
18/02/2016,0,1.723324833,2.898583365,1.851833049,1.723324833,0,0,0,Winter,2016
14/03/2016,1.1229212,0,2.984792158,1.825696213,1.678630561,0,0,0,Spring,2016
19/04/2016,0,0,3.118034586,1.422102261,0.976698112,0,0,0.83235829,Spring,2016
16/05/2016,0.676947243,0,2.594039617,1.172507019,2.69331848,0,0,0,Spring,2016
20/06/2016,0.562341325,1.327975606,2.569193946,1.190690845,2.6684065,0.840896415,0,0.316227766,Summer,2016
11/07/2016,0.994962056,0,2.55911034,1.818256047,2.57125531,1.101106519,0,0.416179145,Summer,2016
10/08/2016,0.857232129,2.118433651,2.335652517,1.708981092,2.525021832,0.774596669,0,0.376060309,Summer,2016
13/09/2016,1.366804364,1.671181621,2.700455862,1.97451709,2.123412378,0,0,0,Autumn,2016
19/10/2016,1.073897695,1.468463777,2.883165097,1.84669396,1.909331094,0,0,0,Autumn,2016
15/11/2016,1.093538328,1.661455611,2.714438212,2.13941978,1.990875244,0,0,0,Autumn,2016
13/12/2016,1.232829435,1.466089535,2.892507609,1.843110835,1.843110835,0,0,0,Winter,2016
16/01/2017,1.143533857,1.143533857,2.935841394,2,1.545820374,0,0,0.868897833,Winter,2017
27/02/2017,0.939774487,0,3.066028685,1.577967021,1.235489276,1.115791181,0,0.939774487,Winter,2017
28/03/2017,1.287754788,1.024113689,2.987608623,1.287754788,1.905729246,0,0,0.86117353,Spring,2017
04/05/2017,0.785137822,0,2.042676971,0.600462428,3.00940017,0,0,0.4949232,Spring,2017
08/06/2017,0.66021958,2.073644135,1.860433729,1.226103437,2.861859202,0,0,0,Summer,2017
17/07/2017,0.865061545,2.568456541,1.952725068,1.180185929,2.506018234,0,0,0,Summer,2017
04/08/2017,0.954485913,2.045311745,2.920808023,1.535566744,1.350862228,0,0,0,Summer,2017
20/09/2017,1.226103437,2.136862191,2.318392085,2.123934422,2.292896808,0,0,0,Autumn,2017
25/10/2017,1.377449308,2.40040499,2.643047423,1.56508458,1.681792831,0,0,0.795270729,Autumn,2017
16/11/2017,1.085809657,2.29579476,2.677439427,1.623079781,1.806497654,0,0,1.166253425,Autumn,2017
18/12/2017,1.348829322,2.268665619,2.747093442,1.275884814,1.804373609,0,0,0,Winter,2017
23/01/2018,1.269823432,0,2.907168221,2.167702943,1.405290634,0,0,0,Winter,2018
07/03/2018,1.602824543,0,2.947430596,1.93949699,1.297019809,0.984650177,0,0,Spring,2018
03/04/2018,1.159897584,0,3.04091462,1.213710009,1.784470976,0,0,0.774596669,Spring,2018
01/05/2018,0.83235829,2.520974561,2.702104686,1.247250945,1.267374388,0.752120619,0,0.83235829,Spring,2018
28/05/2018,0.917940618,0.769160567,2.564611756,1.394353689,2.682375299,0.588566191,0,0,Spring,2018
26/06/2018,1.040031433,1.501294619,2.643318185,2.386180282,1.880301547,0,0,0.376060309,Summer,2018
24/07/2018,0,1.878418418,1.90645125,1.628316528,2.857047451,0.707106781,0.707106781,0.651355562,Summer,2018
21/08/2018,1,2.24540087,1.90645125,1.70998196,2.676005515,0.757928931,0.684866101,0,Summer,2018
17/09/2018,0.982020914,0,2.549358885,2.608103818,1.775605968,0,0,0.887356066,Autumn,2018
17/10/2018,1.024113689,0,2.934754027,1.797525767,1.820746246,0,1.133368103,1.133368103,Autumn,2018
18/11/2018,1.161496344,0,2.668801147,2.331718441,2.012997744,0,1.099229092,0,Autumn,2018
18/12/2018,1.231493032,0,2.939391629,2.179871957,0.823549026,0,0,0,Winter,2018
14/01/2019,1.593638924,1.34060437,2.902476428,1.854582623,1.210903724,0,1.210903724,1.34060437,Winter,2019
18/02/2019,1.293568728,0,3.061508302,1.390650193,1.293568728,0,1.169392763,0.982020914,Winter,2019
25/03/2019,1.167826258,0,3.053724706,1.685459742,0,0.887356066,1.055250147,1.055250147,Spring,2019
16/04/2019,1.040031433,0,3.110668675,1.299305315,1.002490679,0.642114135,0.904729394,0.840896415,Spring,2019
14/05/2019,0.785137822,0,3.087656831,1.470826559,1.418612414,0,0,0,Spring,2019
19/06/2019,0.562341325,0,2.748900543,1.614237543,2.449659829,0,0,0,Summer,2019
17/07/2019,0.968546928,1.674386202,2.189224243,2.021525006,2.676527204,0,0.714074192,0,Summer,2019
20/08/2019,0,0,2.753342885,2.283716691,1.966018723,0,0.785137822,0,Summer,2019
07/09/2019,1.059479691,2.156822046,2.539799474,1.629473415,2.302377752,0,0.707106781,0.53182959,Autumn,2019
19/09/2019,0.819036259,2.862179124,2.299504648,1.454041764,0,0,0,0,Autumn,2019
15/10/2019,0.836660027,0,3.051967368,1.646538291,1.523692014,0,0,0,Autumn,2019
19/11/2019,1.55387879,0,2.977905256,1.765244258,1.484005241,0,0,0.992414117,Autumn,2019
16/12/2019,1.251098551,2.268237286,2.873098612,0.994962056,1.101106519,0,0,0.836660027,Winter,2019
20/01/2020,1.242064758,0,3.104253431,1.044447802,0,0,0,1.37457061,Winter,2020
25/02/2020,1.057371263,0,3.132205044,1.25743343,0,0,0,0,Winter,2020
25/03/2020,0.992414117,0,2.954629233,2.112624605,1.258688981,0,0,0.790252997,Spring,2020
21/04/2020,0.840896415,0,3.144418178,0.840896415,1.057371263,0,0,0,Spring,2020
20/05/2020,1.10297439,0,2.727591989,1.710981073,2.425319869,0,0,0,Spring,2020
24/06/2020,0.809780126,0,2.80753603,1.639776183,2.336240916,0,0,0.809780126,Summer,2020
17/07/2020,1.136787051,0,2.565648592,2.069143525,2.387650964,0,1.25743343,1.136787051,Summer,2020
12/08/2020,1.513700052,1.941208061,2.617076142,1.971913897,1.961727881,1.253644034,0.746174535,0.982020914,Summer,2020
14/09/2020,0.887356066,2.815522771,1.892959211,2.15157031,1.199478827,0.676947243,0,0,Autumn,2020
16/10/2020,1.400764679,0,2.811706626,2.094087484,1.803521886,0,0,1.400764679,Autumn,2020
16/11/2020,0.948683298,2.792962764,2.348688861,1.47004023,1.128180928,0,0.948683298,0.948683298,Autumn,2020
15/12/2020,1.033299485,2.749381835,2.399319734,1.651000495,0,0,0,1.033299485,Winter,2020
