Date,Chl.a
13/05/2013,1.607
16/05/2013,1.845
20/05/2013,1.785
23/05/2013,1.666
27/05/2013,2.083
30/05/2013,1.904
04/06/2013,1.666
06/06/2013,1.25
10/06/2013,1.309
14/06/2013,1.131
17/06/2013,1.19
21/06/2013,1.309
24/06/2013,1.309
27/06/2013,1.488
30/07/2013,2.975
15/08/2013,2.083
13/09/2013,1.19
14/10/2013,0.793
06/11/2013,0.655
21/11/2013,0.714
17/12/2013,0.774
14/01/2014,0.298
14/02/2014,0.394
26/03/2014,0.714
01/05/2014,1.488
21/05/2014,0.893
19/06/2014,1.726
30/07/2014,2.142
26/08/2014,2.202
17/09/2014,1.964
13/10/2014,0.833
25/11/2014,0.357
27/11/2014,0.476
15/12/2014,0.298
18/02/2015,0.179
16/03/2015,0.238
15/04/2015,0.714
20/05/2015,0.06
25/06/2015,1.428
28/07/2015,1.012
25/08/2015,0.833
21/09/2015,0.595
02/11/2015,0.655
30/11/2015,0.417
11/01/2016,0.179
18/02/2016,0.179
14/03/2016,0.119
19/04/2016,0.714
16/05/2016,0.833
20/06/2016,1.726
11/07/2016,1.131
10/08/2016,1.369
13/09/2016,0.952
19/10/2016,0.595
15/11/2016,0.476
13/12/2016,0.476
16/01/2017,0.238
27/02/2017,0.21
28/03/2017,0.06
04/05/2017,0.714
08/06/2017,0.595
17/07/2017,0.655
14/08/2017,0.536
14/09/2017,1.289
20/09/2017,0.595
25/10/2017,0.238
16/11/2017,0.476
18/12/2017,0.119
08/03/2018,0.417
20/03/2018,0.536
03/04/2018,0.476
01/05/2018,0.476
28/05/2018,0.595
07/06/2018,1.785
26/06/2018,1.071
05/07/2018,2.261
24/07/2018,2.321
21/08/2018,1.666
29/08/2018,0.714
17/09/2018,0.952
18/10/2018,0.714
08/11/2018,0.476
18/12/2018,0.536
14/01/2019,0.24
18/02/2019,0
25/03/2019,0.24
16/04/2019,0.48
14/05/2019,1.07
28/05/2019,1.25
19/06/2019,1.79
04/07/2019,2.02
17/07/2019,2.44
20/08/2019,1.79
19/09/2019,1.13
15/10/2019,0.25
19/11/2019,0.17
16/12/2019,0.25
21/01/2020,0.08
25/03/2020,0.25
21/04/2020,0.25
20/05/2020,0.89
24/06/2020,1.13
17/07/2020,1.55
12/08/2020,2.02
14/09/2020,0.95
16/10/2020,0.595
16/11/2020,0.476
15/12/2020,0.1785
